NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0527249	0.207239	0.349707	0.297666	0.0826345	0.00942852	0.000569752	3.03043e-05	7.69703e-07	1.71879e-08	1.81135e-10	2.09927e-12	9.90265e-15	5.98225e-17	1.49907e-19	7.0362e-22	1.45104e-24	6.23674e-27	1.21113e-29	5.65583e-32	1.08676e-34	3.02071e-37	4.61627e-40	7.91358e-43	7.08525e-46	6.53175e-49	3.77861e-52	2.92005e-55	1.18002e-58	6.71873e-62	2.27721e-65	1.67421e-68	4.40691e-72	2.07868e-75	4.83284e-79	2.99158e-82	6.23522e-86	3.67255e-89	2.57147e-92	2.39458e-95	1.41214e-98	8.16221e-102	3.55638e-105	1.47303e-108	4.39044e-112	1.36396e-115	3.03456e-119	8.96628e-123	1.581e-126	4.28481e-130	6.34477e-134	1.68004e-137	1.99675e-141	4.70656e-145	7.44688e-149	5.80302e-152	8.09068e-155	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.00308907	0.0473732	0.240986	0.490148	0.187452	0.0248515	0.00460682	0.0014087	7.02585e-05	1.36249e-05	2.84284e-07	7.01113e-09	5.0289e-11	1.12919e-11	8.85357e-13	1.54807e-13	1.28188e-15	1.98644e-17	5.73678e-20	1.01453e-21	5.93333e-24	3.21389e-25	1.64571e-26	5.67358e-28	6.35774e-30	4.38059e-32	1.5079e-34	6.42735e-37	5.59472e-39	5.22639e-40	2.99669e-41	3.05664e-42	2.9199e-44	3.57244e-46	1.3788e-48	1.56815e-50	2.19612e-53	1.82265e-55	2.18207e-57	7.86806e-60	1.07325e-62	7.45148e-66	2.1614e-69	3.57572e-73	2.96285e-77	2.31581e-81	9.18491e-86	7.61549e-90	1.99953e-94	2.06333e-93	4.15036e-95	1.56417e-96	9.68384e-99	1.51478e-100	6.56708e-103	3.66705e-104	5.41597e-105	
N10	0.00188742	0.0347108	0.216327	0.486495	0.173498	0.0301414	0.00726584	0.01616	0.00133033	0.0269349	0.00133796	0.00153775	2.10189e-05	0.000140632	7.17128e-05	0.00182525	6.33446e-05	3.04324e-05	1.78108e-06	1.7008e-05	7.38704e-06	2.24717e-05	7.28682e-05	7.61004e-05	2.06619e-05	1.93696e-06	2.20409e-07	1.58833e-08	9.45819e-09	9.32235e-09	1.97818e-07	6.20204e-07	2.61184e-07	5.38687e-08	4.57273e-08	1.19946e-08	9.42532e-10	1.08899e-08	9.3597e-08	3.63884e-08	4.77727e-09	2.23878e-10	1.87345e-12	4.11931e-15	2.93166e-18	4.69059e-21	8.50925e-25	9.59838e-27	9.57516e-31	4.5813e-33	2.94662e-37	5.48174e-40	2.45576e-44	7.89113e-47	3.0809e-51	4.5008e-53	2.15972e-54	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.00396795	0.018431	0.0557163	0.11537	0.145622	0.234371	0.230793	0.157597	0.0328204	0.00452493	0.000583093	0.000177453	2.06466e-05	3.5549e-06	2.14116e-07	2.54439e-08	7.78939e-10	3.57353e-11	4.5467e-13	1.2431e-14	1.22317e-16	1.33453e-18	1.17852e-20	4.54308e-22	2.3254e-23	1.26534e-24	4.62278e-26	2.25891e-27	5.66052e-29	1.94984e-30	3.90016e-32	1.76458e-33	2.23518e-35	4.83897e-37	4.37478e-39	1.01259e-40	6.61769e-43	1.2785e-44	2.30728e-46	2.47673e-48	1.24115e-50	4.33433e-53	9.22157e-56	1.63444e-58	1.87731e-61	2.26642e-64	1.7577e-67	1.92219e-70	1.09164e-73	1.03887e-76	4.63657e-80	4.01831e-83	1.38011e-86	1.07642e-89	5.91385e-93	1.77607e-95	1.01161e-97	
