NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
Carex_richardsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	3.36131e-05	8.36973e-05	0.000242428	0.000690596	0.00182937	0.0044261	0.00971542	0.0192834	0.0345371	0.0557343	0.0809476	0.105718	0.124068	0.130773	0.123756	0.105124	0.0801451	0.0548402	0.033684	0.0185761	0.00920117	0.00409528	0.00163876	0.000589957	0.000191212	5.58416e-05	1.47074e-05	3.49679e-06	7.51294e-07	1.46026e-07	2.57054e-08	4.10311e-09	5.94607e-10	7.83289e-11	9.39184e-12	1.02633e-12	1.02354e-13	9.32797e-15	7.77898e-16	5.94425e-17	4.1677e-18	2.68477e-19	1.59115e-20	8.6873e-22	4.37527e-23	2.03535e-24	8.7569e-26	3.48912e-27	1.28914e-28	4.42432e-30	1.41275e-31	4.22072e-33	1.18584e-34	3.26635e-36	9.12184e-38	3.43522e-39	2.02008e-40	4.76086e-41	
Carex_capillaris	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_baccans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	4.03788e-08	1.45945e-07	6.61776e-07	2.99353e-06	1.26483e-05	4.88145e-05	0.000170559	0.000537336	0.00152301	0.0038782	0.0088631	0.0181643	0.0333621	0.0548862	0.0808494	0.106603	0.125793	0.132833	0.125522	0.106155	0.0803631	0.0544732	0.0330731	0.0179937	0.00877687	0.00384042	0.00150839	0.000532165	0.000168772	4.81534e-05	1.23707e-05	2.8641e-06	5.98162e-07	1.128e-07	1.92266e-08	2.96516e-09	4.14206e-10	5.24672e-11	6.03326e-12	6.30543e-13	5.99632e-14	5.19529e-15	4.10609e-16	2.96578e-17	1.96076e-18	1.19492e-19	6.74256e-21	3.72119e-22	2.04031e-23	1.50236e-24	1.14568e-25	1.43924e-26	1.2591e-27	1.6886e-28	1.35189e-29	1.77401e-30	1.82935e-31	7.91659e-32	
Carex_granularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	2.88555e-16	2.22109e-15	2.22172e-14	2.16413e-13	1.97144e-12	1.66186e-11	1.28953e-10	9.18029e-10	5.98183e-09	3.56082e-08	1.93331e-07	9.55976e-07	4.29903e-06	1.75581e-05	6.50405e-05	0.000218226	0.000662325	0.00181597	0.00449215	0.0100127	0.0200841	0.0362094	0.0586055	0.0850555	0.110569	0.128612	0.133729	0.124189	0.102924	0.0760741	0.0501191	0.0294198	0.0153826	0.00716356	0.00297136	0.00109801	0.000361615	0.000106198	2.78306e-05	6.51401e-06	1.36312e-06	2.55316e-07	4.28588e-08	6.45689e-09	8.74329e-10	1.06581e-10	1.17151e-11	1.16309e-12	1.0448e-13	8.50722e-15	6.28997e-16	4.23102e-17	2.59437e-18	1.45461e-19	7.50529e-21	3.67226e-22	1.97923e-23	2.53209e-24	
Carex_pseudocyperus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_oligosperma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	3.23537e-07	9.03703e-07	3.09904e-06	1.08064e-05	3.59336e-05	0.000111436	0.000319528	0.000843861	0.00204847	0.00456499	0.00933061	0.0174797	0.0299952	0.0471241	0.0677511	0.0891062	0.107172	0.11785	0.118458	0.108827	0.0913712	0.070111	0.0491688	0.0315189	0.0184718	0.00989931	0.00485275	0.00217676	0.000893824	0.000336132	0.000115826	3.6592e-05	1.0605e-05	2.8214e-06	6.89516e-07	1.54906e-07	3.20161e-08	6.0924e-09	1.06828e-09	1.72756e-10	2.57875e-11	3.55632e-12	4.53529e-13	5.35334e-14	5.85418e-15	5.93668e-16	5.58819e-17	4.8873e-18	3.97518e-19	3.01003e-20	2.12395e-21	1.39835e-22	8.60235e-24	4.96378e-25	2.71166e-26	1.46526e-27	9.31061e-29	1.49313e-29	
Carex_pallescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_albursina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	3.84009e-06	9.96337e-06	3.11005e-05	9.79268e-05	0.00029179	0.000804254	0.00203226	0.00468905	0.00985846	0.0188636	0.0328234	0.0519078	0.0745718	0.0972862	0.115223	0.123861	0.120829	0.106954	0.0859001	0.0625987	0.0413942	0.0248412	0.0135314	0.00669198	0.00300563	0.00122641	0.00045481	0.000153361	4.70439e-05	1.31351e-05	3.34013e-06	7.7404e-07	1.63578e-07	3.15465e-08	5.55606e-09	8.94341e-10	1.31676e-10	1.77475e-11	2.19159e-12	2.48171e-13	2.57928e-14	2.46258e-15	2.16186e-16	1.74667e-17	1.30002e-18	8.92184e-20	5.65117e-21	3.30698e-22	1.78959e-23	8.96631e-25	4.16363e-26	1.7962e-27	7.21321e-29	2.72689e-30	9.82735e-32	3.68831e-33	1.73779e-34	2.63762e-35	
Carex_pendula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
