Accepted;resolved_name
Carex_stramentitia;Carex stramentitia
Carex_cruciata;Carex cruciata
Carex_bavicola;Carex bavicola
Carex_richardsonii_338;Carex richardsonii
Carex_capillaris;Carex capillaris
Carex_baccans;Carex baccans
Carex_granularis_164;Carex granularis
Carex_pseudocyperus_329;Carex pseudocyperus
Carex_oligosperma_287;Carex oligosperma
Carex_pallescens_294;Carex pallescens
Carex_albursina_7;Carex albursina
Carex_cryptostachys;Carex cryptostachys
Carex_pendula;Carex pendula
Carex_hostiana;Carex hostiana
Carex_echinochloe;Carex echinochloe
Carex_dielsiana;Carex dielsiana
Carex_polystachya;Carex polystachya
Carex_dissitiflora;Carex dissitiflora
Uncinia_uncinata;Uncinia uncinata
Uncinia_phleoides;Uncinia phleoides
Carex_pauciflora_297;Carex pauciflora
Cymophyllus_fraserianus;Cymophyllus fraserianus
Carex_leptalea_ssp_leptalea_231;Carex leptalea subsp leptalea
Carex_monostachya;Carex monostachya
Carex_capitata;Carex capitata
Kobresia_myosuroides;Kobresia myosuroides
Kobresia_simpliciuscula;Kobresia simpliciuscula
Carex_gibba;Carex gibba
Carex_radiata_332;Carex radiata
Carex_macrocephala;Carex macrocephala
Carex_satsumensis;Carex satsumensis
Carex_diandra_126;Carex diandra
Carex_foenea_148;Carex foenea
Carex_conferta;Carex conferta
Carex_arcta_19;Carex arcta
Carex_disticha;Carex disticha
Carex_chordorrhiza_78;Carex chordorrhiza
Carex_deweyana_var_deweyana_122;Carex deweyana var deweyana
Carex_omiana;Carex omiana
Carex_adrienii;Carex adrienii
Carex_hypolytroides;Carex hypolytroides
Carex_moupinensis;Carex moupinensis
Carex_grandiligulata;Carex grandiligulata
Carex_tumidula;Carex tumidula
Carex_pachygyna_C43;Carex pachygyna
Carex_siderosticta_C41;Carex siderosticta
Oreobolopsis_inversa;Oreobolopsis inversa
Trichophorum_rigidum;Trichophorum rigidum
Oreobolopsis_tepalifera;Oreobolopsis tepalifera
Trichophorum_cespitosum_663;Trichophorum cespitosum
Trichophorum_clintonii_666;Trichophorum clintonii
Trichophorum_dioicum;Trichophorum dioicum
Trichophorum_alpinum_535;Trichophorum alpinum
Trichophorum_subcapitatum;Trichophorum subcapitatum
Eriophorum_crinigerum;Eriophorum crinigerum
Fimbristylis_variegata;Fimbristylis variegata
Trachystylis_stradbrokensis;Trachystylis stradbrokensis
