Abildgaardia hygrophila;;;;Meter en;HINCHLIFF;SPALINK;;;
Ficinia ramossisima;;;;;;;;;
Ficinia repens;;;;;;;;;
Ficinia rigida;;;;;;;;;
Ficinia trichodes;;;;;;;;;
Ficinia tristachya;;;;;;;;;
Fimbristylis variegata;;;;;;;;;
Flagellaria indica;;;;;;;;;
Fuirena abnormalis;;;;;;;;;
Fuirena coerulescens;;;;;;;;;
Fuirena ecklonii;;;;;;;;;
Fuirena hirsuta;;;;;;;;;
Fuirena robusta;;;;;;;;;
Fuirena welwitschii;;;;;;;;;
Gahnia aspera;2n=80;Gahnia aspera subsp. globosa;;;X;X;;;
Gahnia baniensis;;;;;;;;;
Gahnia deusta;;;;;;;;;
Gahnia javanica;;;;;;;;;
Gahnia melanocarpa;;;;;;;;;
Gahnia tristis;;;;;;;;;
Gaimardia sp;;;;;;;;;
Georgeantha hexandra;;;;;;;;;
Guaduella marantifolia;;;;;;;;;
Guzmania wittmackii;;;;;;;;;
Gymnoschoenus sphaerocephalus;;;;;;;;;
Hellmuthia membranacea;;;;;;;;;
Hopkinsia anoectocolea;;;;;;;;;
Hypolytrum bullatum;;;;;;;;;
Hypolytrum longifolium;;;;;;;;;
Hypolytrum nemorum;;;;;;;;;
Isachne sp;;;;;;;;;
Isolepis antarctica;;;;;;;;;
Isolepis bicolor;;;;;;;;;
Isolepis costata;;;;;;;;;
Isolepis diabolica;;;;;;;;;
Isolepis digitata;;;;;;;;;
Isolepis gaudichaudiana;;;;;;;;;
Isolepis graminoides;;;;;;;;;
Isolepis habra;;;;;;;;;
Isolepis humillima;;;;;;;;;
Isolepis hystrix;;;;;;;;;
Isolepis inundata;;;;;;;;;
Isolepis inyangaensis;;;;;;;;;
Isolepis keniaensis;;;;;;;;;
Isolepis ludwigii;;;;;;;;;
Isolepis marginata;;2n=8;;;X;;ML Pers obs;;
Isolepis meruensis;;;;;;;;;
Isolepis montivaga;;;;;;;;;
Isolepis platycarpa;;;;;;;;;
Isolepis producta;;;;;;;;;
Isolepis rubicunda;;;;;;;;;
Isolepis sepulcralis;;;;;;;;;
Isolepis striata;;;;;;;;;
Isolepis subtillisima;;;;;;;;;
Isolepis sulcata;;;;;;;;;
Isolepis tenuissima;;;;;;;;;
Isolepis varians;;;;;;;;;
Isolepis venustula;;;;;;;;;
Isolepis verruculosa;;;;;;;;;
Isolepis wakefieldiana;;;;;;;;;
Joinvillea plicata;;;;;;;;;
Khaosokia caricoides;;;;;;;;;
Kobresia capillifolia;;;;;;;;;
Kobresia laxa;;;;;;;;;
Kobresia prattii;;;;;;;;;
Kyllinga flava;;;;;;;;;
Kyllingiella polyphylla;;;;;;;;;
Lagenocarpus albo niger;;;;;;;;;
Lagenocarpus guianensis;;2n=34;ML Cuaderno recife;;;X;;;PE: Recife, Dois Irmãos, Açude da Prata
Lagenocarpus stellatus;;;;;;;;;
Lepidosperma longitudinale;;;;;;;;;
Lepidosperma tortuosum;;;;;;;;;
Lepironia articulata;2n = 34;https://www.jstage.jst.go.jp/article/cytologia/75/4/75_4_335/_pdf;;;X;X;;;
Lepyrodia heleocharoides;;;;;;;;;
Lipocarpha aristulata;;;;;;;;;
Lipocarpha micrantha;;2n=52;ML;;;X;;;
Lipocarpha nana;;;;;;;;;
Machaerina glomerata;;;;;;;;;
Machaerina iridifolia;;;;;;;;;
Machaerina rubiginosa;;;;;;;;;
Machaerina scirpoidea;;;;;;;;;
Mapania assimilis;;;;;;;;;
Mapania cuspidata;;;;;;;;;
Mapania macrophylla;;;;;;;;;
Mapania meditensis;;;;;;;;;
Mapania paradoxa;;;;;;;;;
Mapania pycnocephala;;;;;;;;;
Merxmuellera macowanii;;;;;;;;;
Mesomelaena pseudostygia;;;;;;;;;
Mesomelaena tetragona;;;;;;;;;
Microdracoides squamosus;;;;;;;;;
Morelotia gahniiformis;;;;;;;;;
Neesenbeckia punctoria;;;;;;;;;
Nemum spadiceum;;;;;;;;;
Olyra latifolia;;;;;;;;;
Oreobolopsis clementis;;;;;;;;;
Oreobolopsis inversa;;;;;;;;;
Oreobolopsis tepalifera;;;;;;;;;
Oreobolus goeppingeri;;;;;;;;;
Oreobolus kuekenthalii;;;;;;;;;
Oreobolus obtusangulus;;;;;;;;;
Oxycaryum cubense;;?;;;;;;;
Paramapania parvibractea;;;;;;;;;
Patosia clandestina;;;;;;;;;
Pharus latifolius;;;;;;;;;
Phragmites australis;;;;;;;;;
Phylloscirpus acaulis;;;;;;;;;
Phylloscirpus bolivianus;;;;;;;;;
Phylloscirpus deserticola;;;;;;;;;
Pleurostachys stricta;;;;;;;;;
Prionium serratum;;;;;;;;;
Ptilothrix deusta;;;;;;;;;
Puelia sp;;;;;;;;;
Pycreus mundtii;;;;;;;;;
Pycreus nuerensis;;;;;;;;;
Ravenala madagascariensis;;;;;;;;;
Remirea maritima;;?;;;;;;;
Rhynchospora aristata;;;;;;;;;
Rhynchospora capitellata;;;;;;;;;
Rhynchospora ciliaris;;;;;;;;;
Rhynchospora gracillima;;;;;;;;;
Rhynchospora radicans;;;;;;;;;
Rhynchospora rubra;;2n=20;;;X;X;;Hoshino, T. 1987. Karyomorphological studies on seven species of Japanese Rhynchospora (Cyperaceae). Kromosomo New Ser. No. 2. pp. 1557–1561.;
Rhynchospora scirpoides;;;;;;;;;
Rostkovia magellanica;;2n=56;;;;X;;;
Schoenoplectiella komarovii;;;;;;;;;
Schoenoplectiella triangulata;;;;;;;;;
Schoenoplectus acutus var acutus;;2n = 38;;;;X;;;
Schoenoplectus confusus;;;;;;;;;
Schoenoplectus corymbosus;;;?;;;;;;
Schoenoplectus junceus;;;;;;;;;
Schoenoplectus nipponicus;;;;;;;;;
Schoenoplectus purshianus var purshianus;;2n=38;;;;X;;;
Schoenoplectus smithii var smithii;;2n=40;;;;X;;;
Schoenoplectus validus;;2n=42;;;X;;;;
Schoenoxiphium burkei;;2n=66,70,72;ML pers comm;;X;;;;
Schoenoxiphium ecklonii;;n=36;ML pers comm;;X;;;;
Schoenoxiphium filiforme;;2n=70,72,73;ML pers comm;;X;;;;
Schoenoxiphium ludwigii;;2n=34,36;ML pers comm;;X;;;;
Schoenoxiphium sparteum;;2n=26,27,30,32,34,36;ML pers comm;;X;;;;
Schoenus curvifolius;;;;;;;;;
Schoenus efoliatus;;;;;;;;;
Schoenus pennisetis;;;;;;;;;
Scirpodendron bogneri;;;;;;;;;
Scirpodendron ghaeri;;;;;;;;;
Scirpoides burkei;;;;;;;;;
Scirpoides holoschoenus subsp thunbergii;;;2n=84;usar S. holoschoenus;YA ESTÁ S. HOLOSCHOENUS;;;;
Scirpus falsus;;;;;;;;;
Scirpus ficinioides;;n=52;==Dracoscirpoides ficinioides;;X;X;;;
Scirpus karuizawensis;;;;;;;;;
Scirpus varius;;;;;;;;;
Scirpus wichurae;;;;;;;;;
Scleria distans;;;;;;;;;
Scleria lacustris;;;;;;;;;
Scleria latifolia;;;;;;;;;
Scleria lithosperma;;;;;;;;;
Scleria macrogyne;;;;;;;;;
Scleria mitis;;;;;;;;;
Scleria parvula;;;;;;;;;
Scleria reticularis;;;;;;;;;
Scleria terrestris;;;;;;;;;
Scleria triglomerata;;;;;;;;;
Spatholirion longifolium;;;;;;;;;
Sphaerocyperus erinaceus;;;;;;;;;
Streptochaeta sp;;;;;;;;;
Syngonanthus sp;;;;;;;;;
Tetraria compacta;;;;;;;;;
Tetraria compar;;;;;;;;;
Tetraria crassa;;;;;;;;;
Tetraria crinifolia;;;;;;;;;
Tetraria cuspidata;;;;;;;;;
Tetraria flexuosa;;;;;;;;;
Tetraria involucrata;;;;;;;;;
Tetraria microstachys;;;;;;;;;
Tetraria natalensis;;;;;;;;;
Tetraria picta;;;;;;;;;
Tetraria sylvatica;;;;;;;;;
Tetraria ustulata;;;;;;;;;
Tetraria variabilis;;;;;;;;;
Thysanolaena latifolia;;;;;;;;;
Trachystylis stradbrokensis;;;;;;;;;
Tragus racemosus;;;;;;;;;
Tribolium purpureum;;;;;;;;;
Trichophorum clintonii;;;;;;;;;
Trichophorum dioicum;;;;;;;;;
Trichophorum planifolium;;;;;;;;;
Trichophorum rigidum;;;;;;;;;
Trichophorum subcapitatum;;;;;;;;;
Tricostularia pauciflora;;;;;;;;;
Trilepis lhotzkiana;;;;;;;;;
Uncinia hamata;;;;;;;;;
Uncinia nemoralis;;;;;;;;;
Volkiella disticha;;;;;;;;;
Zameioscirpus atacamensis;;;;;;;;;
Zameioscirpus muticus;;;;;;;;;
