Species;Species without_ sp cf
Gahnia_tristis;Gahnia tristis
Neesenbeckia_punctoria;Neesenbeckia punctoria
Tetraria_capillaris;Tetraria capillaris
Lepidosperma_tortuosum;Lepidosperma tortuosum
Machaerina_glomerata;Machaerina glomerata
Machaerina_scirpoidea;Machaerina scirpoidea
Machaerina_sp__Johns_9195;
Machaerina_mariscoides;Machaerina mariscoides
Machaerina_rubiginosa;Machaerina rubiginosa
Baumea_rubiginosa;Baumea rubiginosa
Baumea_articulata;Baumea articulata
Rhynchospora_cf__corymbosa_CEH_2010;
Rhynchospora_corniculata;Rhynchospora corniculata
Rhynchospora_albiceps;Rhynchospora albiceps
Rhynchospora_sp__CEH_2010;
Rhynchospora_barbata;Rhynchospora barbata
Rhynchospora_globosa;Rhynchospora globosa
Rhynchospora_rubra;Rhynchospora rubra
Pleurostachys_sp__Kallunki_et_al__513;
Pleurostachys_stricta;Pleurostachys stricta
Rhynchospora_cephalotes;Rhynchospora cephalotes
Rhynchospora_aristata;Rhynchospora aristata
Rhynchospora_chinensis;Rhynchospora chinensis
Rhynchospora_fusca;Rhynchospora fusca
Rhynchospora_alba;Rhynchospora alba
Rhynchospora_ciliaris;Rhynchospora ciliaris
Rhynchospora_rugosa;Rhynchospora rugosa
Rhynchospora_marisculus;Rhynchospora marisculus
Rhynchospora_brownii;Rhynchospora brownii
Rhynchospora_riparia;Rhynchospora riparia
Rhynchospora_tenerrima;Rhynchospora tenerrima
Rhynchospora_gracillima;Rhynchospora gracillima
Rhynchospora_nervosa;Rhynchospora nervosa
Rhynchospora_robusta;Rhynchospora robusta
Rhynchospora_latifolia;Rhynchospora latifolia
Rhynchospora_radicans;Rhynchospora radicans
Rhynchospora_pubera;Rhynchospora pubera
Blysmus_compressus;Blysmus compressus
Dulichium_arundinaceum;Dulichium arundinaceum
Eriophorum_crinigerum;Eriophorum crinigerum
Zameioscirpus_atacamensis;Zameioscirpus atacamensis
Trichophorum_subcapitatum;Trichophorum subcapitatum
Zameioscirpus_muticus;Zameioscirpus muticus
Trichophorum_cespitosum;Trichophorum cespitosum
Oreobolopsis_tepalifera;Oreobolopsis tepalifera
Trichophorum_rigidum;Trichophorum rigidum
Oreobolopsis_inversa;Oreobolopsis inversa
Trichophorum_dioicum;Trichophorum dioicum
Oreobolopsis_clementis;Oreobolopsis clementis
Trichophorum_planifolium;Trichophorum planifolium
Trichophorum_clintonii;Trichophorum clintonii
Trichophorum_pumilum;Trichophorum pumilum
Trichophorum_alpinum;Trichophorum alpinum
Amphiscirpus_nevadensis;Amphiscirpus nevadensis
Phylloscirpus_bolivianus;Phylloscirpus bolivianus
Phylloscirpus_acaulis;Phylloscirpus acaulis
Phylloscirpus_deserticola;Phylloscirpus deserticola
Scirpus_radicans;Scirpus radicans
Scirpus_wichurae;Scirpus wichurae
Scirpus_mitsukurianus;Scirpus mitsukurianus
Scirpus_karuizawensis;Scirpus karuizawensis
Scirpus_polystachyus;Scirpus polystachyus
Eriophorum_brachyantherum;Eriophorum brachyantherum
Eriophorum_chamissonis;Eriophorum chamissonis
Eriophorum_angustifolium;Eriophorum angustifolium
Eriophorum_vaginatum;Eriophorum vaginatum
Scirpus_sylvaticus;Scirpus sylvaticus
Scirpus_microcarpus;Scirpus microcarpus
Scirpus_expansus;Scirpus expansus
Scirpus_ancistrochaetus;Scirpus ancistrochaetus
Scirpus_georgianus;Scirpus georgianus
Scirpus_hattorianus;Scirpus hattorianus
Scirpus_flaccidifolius;Scirpus flaccidifolius
Scirpus_pendulus;Scirpus pendulus
Scirpus_fontinalis;Scirpus fontinalis
Scirpus_orientalis;Scirpus orientalis
Scirpus_cyperinus;Scirpus cyperinus
Scirpus_atrocinctus;Scirpus atrocinctus
Khaosokia_caricoides;Khaosokia caricoides
Carex_pulicaris;Carex pulicaris
Carex_peregrina;Carex peregrina
Carex_microglochin;Carex microglochin
Carex_camptoglochin;Carex camptoglochin
Schoenoxiphium_ludwigii;Schoenoxiphium ludwigii
Schoenoxiphium_burkei;Schoenoxiphium burkei
Schoenoxiphium_filiforme;Schoenoxiphium filiforme
Schoenoxiphium_ecklonii;Schoenoxiphium ecklonii
Schoenoxiphium_sparteum;Schoenoxiphium sparteum
Kobresia_fragilis;Kobresia fragilis
Kobresia_simpliciuscula;Kobresia simpliciuscula
Kobresia_laxa;Kobresia laxa
Kobresia_prattii;Kobresia prattii
Kobresia_capillifolia;Kobresia capillifolia
Carex_pauciflora;Carex pauciflora
Cymophyllus_fraserianus;Cymophyllus fraserianus
Carex_backii;Carex backii
Carex_monostachya;Carex monostachya
Carex_rupestris;Carex rupestris
Carex_obtusata;Carex obtusata
Carex_elynoides;Carex elynoides
Carex_nardina;Carex nardina
Carex_capillacea;Carex capillacea
Carex_leptalea;Carex leptalea
Uncinia_hamata;Uncinia hamata
Uncinia_phleoides;Uncinia phleoides
Uncinia_filiformis;Uncinia filiformis
Uncinia_nemoralis;Uncinia nemoralis
Uncinia_uncinata;Uncinia uncinata
Carex_maritima;Carex maritima
Carex_conferta;Carex conferta
Carex_cephalophora;Carex cephalophora
Carex_echinata;Carex echinata
Carex_pairae;Carex pairae
Carex_divulsa;Carex divulsa
Carex_lamprocarpa;Carex lamprocarpa
Carex_otrubae;Carex otrubae
Carex_ovalis;Carex ovalis
Carex_xerantica;Carex xerantica
Carex_chordorrhiza;Carex chordorrhiza
Carex_marina;Carex marina
Carex_canescens;Carex canescens
Carex_lachenalii;Carex lachenalii
Carex_oligocarpa;Carex oligocarpa
Carex_amphibola;Carex amphibola
Carex_livida;Carex livida
Carex_panicea;Carex panicea
Carex_fuliginosa;Carex fuliginosa
Carex_glacialis;Carex glacialis
Carex_metallica;Carex metallica
Carex_pilulifera;Carex pilulifera
Carex_humilis;Carex humilis
Carex_atrofusca;Carex atrofusca
Carex_capillaris;Carex capillaris
Carex_halleriana;Carex halleriana
Carex_baccans;Carex baccans
Carex_composita;Carex composita
Carex_echinochloe;Carex echinochloe
Carex_pendula;Carex pendula
Carex_hostiana;Carex hostiana
Carex_viridula;Carex viridula
Carex_punctata;Carex punctata
Carex_fuscula;Carex fuscula
Carex_hochstetteriana;Carex hochstetteriana
Carex_vallis_rosetto;Carex vallis rosetto
Carex_berteroana;Carex berteroana
Carex_comans;Carex comans
Carex_extensa;Carex extensa
Carex_distans;Carex distans
Carex_scirpoidea;Carex scirpoidea
Carex_debilis;Carex debilis
Carex_vulcani;Carex vulcani
Carex_grayi;Carex grayi
Carex_saxatilis;Carex saxatilis
Carex_membranacea;Carex membranacea
Carex_rostrata;Carex rostrata
Carex_rariflora;Carex rariflora
Carex_magellanica;Carex magellanica
Carex_shimidzensis;Carex shimidzensis
Carex_nigra;Carex nigra
Carex_aquatilis_var__minor;Carex aquatilis var minor
Carex_aquatilis_var__aquatilis;Carex aquatilis var aquatilis
Carex_paleacea;Carex paleacea
Carex_aquatilis;Carex aquatilis
Carex_recta;Carex recta
Carex_aequialta;Carex aequialta
Carex_subcernua;Carex subcernua
Carex_dimorpholepis;Carex dimorpholepis
Carex_kiotensis;Carex kiotensis
Carex_heterolepis;Carex heterolepis
Carex_phacota;Carex phacota
Bulbostylis_barbata;Bulbostylis barbata
Bulbostylis_hirtella;Bulbostylis hirtella
Nemum_spadiceum;Nemum spadiceum
Bulbostylis_sp__SH_2010;
Bulbostylis_atrosanguinea;Bulbostylis atrosanguinea
Bulbostylis_densa;Bulbostylis densa
Bulbostylis_sp__CEH_2010;
Bulbostylis_hispidula;Bulbostylis hispidula
Bulbostylis_burchellii;Bulbostylis burchellii
Abildgaardia_hygrophila;Abildgaardia hygrophila
Fimbristylis_variegata;Fimbristylis variegata
Arthrostylis_aphylla;Arthrostylis aphylla
Trachystylis_stradbrokensis;Trachystylis stradbrokensis
Actinoschoenus_thouarsii;Actinoschoenus thouarsii
Abildgaardia_ovata;Abildgaardia ovata
Fimbristylis_littoralis;Fimbristylis littoralis
Fimbristylis_sp__CEH_2010;
Fimbristylis_cf__pauciflora_CEH_2010;
Fimbristylis_complanata;Fimbristylis complanata
Fimbristylis_ferruginea;Fimbristylis ferruginea
Fimbristylis_dichotoma;Fimbristylis dichotoma
Fimbristylis_velata;Fimbristylis velata
Fimbristylis_squarrosa;Fimbristylis squarrosa
Eleocharis_uniflora;Eleocharis uniflora
Eleocharis_kuroguwai;Eleocharis kuroguwai
Eleocharis_dulcis;Eleocharis dulcis
Eleocharis_quadrangulata;Eleocharis quadrangulata
Eleocharis_fluctuans;Eleocharis fluctuans
Eleocharis_interstincta;Eleocharis interstincta
Eleocharis_tuberculosa;Eleocharis tuberculosa
Eleocharis_quinqueflora;Eleocharis quinqueflora
Eleocharis_torticulmis;Eleocharis torticulmis
Eleocharis_confervoides;Eleocharis confervoides
Eleocharis_filiculmis;Eleocharis filiculmis
Eleocharis_setifolia;Eleocharis setifolia
Eleocharis_baldwinii;Eleocharis baldwinii
Eleocharis_geniculata;Eleocharis geniculata
Eleocharis_multicaulis;Eleocharis multicaulis
Eleocharis_flavescens;Eleocharis flavescens
Eleocharis_atropurpurea;Eleocharis atropurpurea
Eleocharis_gracilis;Eleocharis gracilis
Eleocharis_congesta;Eleocharis congesta
Eleocharis_marginulata;Eleocharis marginulata
Eleocharis_limosa;Eleocharis limosa
Eleocharis_rostellata;Eleocharis rostellata
Eleocharis_acicularis_f__longiseta;Eleocharis acicularis flongiseta
Eleocharis_acicularis;Eleocharis acicularis
Eleocharis_elegans;Eleocharis elegans
Eleocharis_montevidensis;Eleocharis montevidensis
Eleocharis_vivipara;Eleocharis vivipara
Eleocharis_tenuis;Eleocharis tenuis
Eleocharis_erythropoda;Eleocharis erythropoda
Eleocharis_palustris;Eleocharis palustris
Eleocharis_acuta;Eleocharis acuta
Eleocharis_pallens;Eleocharis pallens
Eleocharis_cylindrostachys;Eleocharis cylindrostachys
Eleocharis_obtusa;Eleocharis obtusa
Eleocharis_engelmannii;Eleocharis engelmannii
Actinoscirpus_grossus;Actinoscirpus grossus
Schoenoplectus_nipponicus;Schoenoplectus nipponicus
Schoenoplectus_lacustris;Schoenoplectus lacustris
Schoenoplectus_pungens;Schoenoplectus pungens
Schoenoplectus_validus;Schoenoplectus validus
Schoenoplectus_triqueter;Schoenoplectus triqueter
Schoenoplectus_tabernaemontani;Schoenoplectus tabernaemontani
Schoenoplectiella_articulata;Schoenoplectiella articulata
Schoenoplectiella_senegalensis;Schoenoplectiella senegalensis
Schoenoplectus_junceus;Schoenoplectus junceus
Schoenoplectus_confusus;Schoenoplectus confusus
Schoenoplectus_corymbosus;Schoenoplectus corymbosus
Schoenoplectiella_juncoides;Schoenoplectiella juncoides
Schoenoplectiella_komarovii;Schoenoplectiella komarovii
Schoenoplectiella_hotarui;Schoenoplectiella hotarui
Schoenoplectiella_mucronata;Schoenoplectiella mucronata
Schoenoplectiella_lineolata;Schoenoplectiella lineolata
Schoenoplectiella_triangulata;Schoenoplectiella triangulata
Schoenoplectiella_wallichii;Schoenoplectiella wallichii
Schoenoplectus_litoralis;Schoenoplectus litoralis
Bolboschoenus_nobilis;Bolboschoenus nobilis
Bolboschoenus_maritimus;Bolboschoenus maritimus
Bolboschoenus_fluviatilis;Bolboschoenus fluviatilis
Bolboschoenus_yagara;Bolboschoenus yagara
Bolboschoenus_planiculmis;Bolboschoenus planiculmis
Bolboschoenus_caldwellii;Bolboschoenus caldwellii
Fuirena_coerulescens;Fuirena coerulescens
Fuirena_welwitschii;Fuirena welwitschii
Fuirena_abnormalis;Fuirena abnormalis
Fuirena_ecklonii;Fuirena ecklonii
Fuirena_umbellata;Fuirena umbellata
Fuirena_sp__Thomas_et_al__10404;
Fuirena_sp__CEH_2010;
Fuirena_cf__camptotricha_CEH_2010;
Fuirena_robusta;Fuirena robusta
Fuirena_simplex;Fuirena simplex
Fuirena_hirsuta;Fuirena hirsuta
Fuirena_ciliaris;Fuirena ciliaris
Fuirena_breviseta;Fuirena breviseta
Fuirena_pumila;Fuirena pumila
Fuirena_scirpoidea;Fuirena scirpoidea
Scirpus_varius;Scirpus varius
Isolepis_humillima;Isolepis humillima
Scirpoides_holoschoenus;Scirpoides holoschoenus
Scirpoides_burkei;Scirpoides burkei
Scirpoides_holoschoenus_subsp__thunbergii;Scirpoides holoschoenus subspthunbergii
Androtrichum_trigynum;Androtrichum trigynum
Cyperus_prolifer;Cyperus prolifer
Cyperus_sphaerospermus;Cyperus sphaerospermus
Cyperus_fuscus;Cyperus fuscus
Cyperus_dichrostachyus;Cyperus dichrostachyus
Oxycaryum_cubense;Oxycaryum cubense
Courtoisina_assimilis;Courtoisina assimilis
Androtrichum_giganteum;Androtrichum giganteum
Cyperus_eragrostis;Cyperus eragrostis
Cyperus_alternifolius;Cyperus alternifolius
Cyperus_difformis;Cyperus difformis
Cyperus_involucratus;Cyperus involucratus
Cyperus_pulchellus;Cyperus pulchellus
Kyllingiella_microcephala;Kyllingiella microcephala
Kyllingiella_polyphylla;Kyllingiella polyphylla
Cyperus_cuspidatus;Cyperus cuspidatus
Ascolepis_protea;Ascolepis protea
Ascolepis_capensis;Ascolepis capensis
Remirea_maritima;Remirea maritima
Cyperus_cyperoides;Cyperus cyperoides
Cyperus_strigosus;Cyperus strigosus
Alinula_paradoxa;Alinula paradoxa
Kyllinga_bulbosa;Kyllinga bulbosa
Kyllinga_brevifolia;Kyllinga brevifolia
Cyperus_capitatus;Cyperus capitatus
Sphaerocyperus_erinaceus;Sphaerocyperus erinaceus
Cyperus_esculentus;Cyperus esculentus
Cyperus_longus;Cyperus longus
Pycreus_nuerensis;Pycreus nuerensis
Cyperus_iria;Cyperus iria
Pycreus_flavescens;Pycreus flavescens
Scirpus_ficinioides;Scirpus ficinioides
Scirpus_falsus;Scirpus falsus
Hellmuthia_membranacea;Hellmuthia membranacea
Isolepis_antarctica;Isolepis antarctica
Isolepis_marginata;Isolepis marginata
Desmoschoenus_spiralis;Desmoschoenus spiralis
Ficinia_nodosa;Ficinia nodosa
Ficinia_pinguior;Ficinia pinguior
Ficinia_gydomontana;Ficinia gydomontana
Ficinia_bergiana;Ficinia bergiana
Ficinia_rigida;Ficinia rigida
Ficinia_esterhuyseniae;Ficinia esterhuyseniae
Ficinia_laciniata;Ficinia laciniata
Ficinia_indica;Ficinia indica
Ficinia_trichodes;Ficinia trichodes
Ficinia_ramossisima;Ficinia ramossisima
Ficinia_polystachya;Ficinia polystachya
Ficinia_distans;Ficinia distans
Isolepis_sepulcralis;Isolepis sepulcralis
Isolepis_hystrix;Isolepis hystrix
Isolepis_tenuissima;Isolepis tenuissima
Isolepis_striata;Isolepis striata
Isolepis_ludwigii;Isolepis ludwigii
Isolepis_crassiuscula;Isolepis crassiuscula
Isolepis_rubicunda;Isolepis rubicunda
Isolepis_producta;Isolepis producta
Isolepis_fluitans;Isolepis fluitans
Isolepis_graminoides;Isolepis graminoides
Isolepis_inyangaensis;Isolepis inyangaensis
Cyperus_tenellus;Cyperus tenellus
Isolepis_setacea;Isolepis setacea
Isolepis_keniaensis;Isolepis keniaensis
Isolepis_diabolica;Isolepis diabolica
Isolepis_meruensis;Isolepis meruensis
Isolepis_verruculosa;Isolepis verruculosa
Isolepis_platycarpa;Isolepis platycarpa
Isolepis_venustula;Isolepis venustula
Isolepis_cernua;Isolepis cernua
Isolepis_digitata;Isolepis digitata
Isolepis_costata;Isolepis costata
Isolepis_varians;Isolepis varians
Isolepis_prolifera;Isolepis prolifera
Isolepis_bicolor;Isolepis bicolor
Isolepis_sulcata;Isolepis sulcata
Isolepis_inundata;Isolepis inundata
Isolepis_gaudichaudiana;Isolepis gaudichaudiana
Isolepis_wakefieldiana;Isolepis wakefieldiana
Isolepis_montivaga;Isolepis montivaga
Isolepis_subtillisima;Isolepis subtillisima
Isolepis_aucklandica;Isolepis aucklandica
Isolepis_habra;Isolepis habra
