Species;Species without_ sp cf
Lepironia_articulata;Lepironia articulata
Chrysitrix_dodii;Chrysitrix dodii
Chrysitrix_capensis;Chrysitrix capensis
Chorizandra_cymbaria;Chorizandra cymbaria
Chorizandra_enodis;Chorizandra enodis
Mapania_paradoxa;Mapania paradoxa
Mapania_macrophylla;Mapania macrophylla
Diplasia_karatifolia;Diplasia karatifolia
Paramapania_parvibractea;Paramapania parvibractea
Hypolytrum_nemorum;Hypolytrum nemorum
Hypolytrum_bullatum;Hypolytrum bullatum
Hypolytrum_longifolium;Hypolytrum longifolium
Scirpodendron_ghaeri;Scirpodendron ghaeri
Mapania_meditensis;Mapania meditensis
Mapania_cuspidata;Mapania cuspidata
Coleochloa_abyssinica;Coleochloa abyssinica
Coleochloa_setifera;Coleochloa setifera
Trilepis_lhotzkiana;Trilepis lhotzkiana
Microdracoides_squamosus;Microdracoides squamosus
Diplacrum_capitatum;Diplacrum capitatum
Diplacrum_caricinum;Diplacrum caricinum
Calyptrocarya_glomerulata;Calyptrocarya glomerulata
Calyptrocarya_poeppigiana;Calyptrocarya poeppigiana
Calyptrocarya_sp__CEH_2010b;
Diplacrum_africanum;Diplacrum africanum
Becquerelia_cymosa;Becquerelia cymosa
Scleria_lacustris;Scleria lacustris
Scleria_foliosa;Scleria foliosa
Scleria_terrestris;Scleria terrestris
Scleria_triglomerata;Scleria triglomerata
Scleria_lithosperma;Scleria lithosperma
Scleria_distans;Scleria distans
Scleria_macrogyne;Scleria macrogyne
Scleria_reticularis;Scleria reticularis
Scleria_parvula;Scleria parvula
Scleria_mitis;Scleria mitis
Scleria_sp__CEH_2010;
Scleria_latifolia;Scleria latifolia
Cladium_chinense;Cladium chinense
Cladium_californicum;Cladium californicum
aff__Cladium_sp__JID_2002;
Cladium_mariscus;Cladium mariscus
Cladium_jamaicense;Cladium jamaicense
Cladium_mariscoides;Cladium mariscoides
Carpha_glomerata;Carpha glomerata
Carpha_sp__Forest_759;
Carpha_schoenoides;Carpha schoenoides
Carpha_alpina;Carpha alpina
Lagenocarpus_albo_niger;Lagenocarpus albo niger
Didymiandrum_stellatum;Didymiandrum stellatum
Gymnoschoenus_sphaerocephalus;Gymnoschoenus sphaerocephalus
Evandra_aristata;Evandra aristata
Caustis_dioica;Caustis dioica
Morelotia_gahniiformis;Morelotia gahniiformis
Tricostularia_pauciflora;Tricostularia pauciflora
Tetraria_crinifolia;Tetraria crinifolia
Tetraria_microstachys;Tetraria microstachys
Tetraria_involucrata;Tetraria involucrata
Schoenus_brevifolius;Schoenus brevifolius
Schoenus_apogon;Schoenus apogon
Schoenus_nigricans;Schoenus nigricans
Epischoenus_quadrangularis;Epischoenus quadrangularis
Tetraria_compar;Tetraria compar
Tetraria_compacta;Tetraria compacta
Tetraria_crassa;Tetraria crassa
Capeobolus_brevicaulis;Capeobolus brevicaulis
Cyathocoma_bachmannii;Cyathocoma bachmannii
Cyathocoma_hexandra;Cyathocoma hexandra
Costularia_fragilis;Costularia fragilis
Costularia_natalensis;Costularia natalensis
Oreobolus_obtusangulus;Oreobolus obtusangulus
Oreobolus_kuekenthalii;Oreobolus kuekenthalii
Oreobolus_pectinatus;Oreobolus pectinatus
Gahnia_javanica;Gahnia javanica
Gahnia_baniensis;Gahnia baniensis
Mesomelaena_tetragona;Mesomelaena tetragona
Mesomelaena_pseudostygia;Mesomelaena pseudostygia
Gahnia_deusta;Gahnia deusta
Gahnia_aspera;Gahnia aspera
