NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.00657492	0.00744537	0.009193	0.0118438	0.0154158	0.0198989	0.0252322	0.0312834	0.0378357	0.0445846	0.0511506	0.0571064	0.0620182	0.065495	0.0672387	0.0670856	0.0650313	0.0612334	0.0559919	0.0497094	0.0428391	0.0358303	0.0290799	0.0228984	0.0174914	0.0129599	0.00931287	0.00648986	0.00438552	0.00287349	0.00182549	0.00112437	0.000671409	0.000388688	0.000218146	0.000118692	6.26079e-05	3.20165e-05	1.58732e-05	7.62989e-06	3.5559e-06	1.60688e-06	7.04122e-07	2.99215e-07	1.23324e-07	4.93078e-08	1.91302e-08	7.20556e-09	2.63705e-09	9.39122e-10	3.26363e-10	1.11287e-10	3.76547e-11	1.29443e-11	4.75431e-12	2.0659e-12	1.25683e-12	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	2.25874e-06	4.5838e-06	1.12135e-05	2.73297e-05	6.41604e-05	0.000144224	0.000309923	0.00063616	0.00124656	0.00233048	0.00415466	0.00705917	0.0114256	0.0176076	0.0258234	0.036027	0.0477932	0.0602641	0.0722024	0.0821677	0.0887928	0.0910884	0.0886849	0.08193	0.0718054	0.0596923	0.0470611	0.035183	0.0249394	0.0167604	0.0106782	0.00644928	0.0036924	0.00200395	0.00103098	0.000502813	0.000232475	0.000101903	4.2351e-05	1.66898e-05	6.23731e-06	2.21083e-06	7.43349e-07	2.37131e-07	7.17851e-08	2.06278e-08	5.62858e-09	1.45912e-09	3.5963e-10	8.4377e-11	1.8886e-11	4.04984e-12	8.39546e-13	1.71831e-13	3.65899e-14	9.26196e-15	3.78395e-15	
N10	1.86201e-07	3.3643e-07	8.27506e-07	2.22982e-06	6.0035e-06	1.56427e-05	3.90273e-05	9.28865e-05	0.000210575	0.000454342	0.000932472	0.00181951	0.00337396	0.00594302	0.00993971	0.0157786	0.0237644	0.0339466	0.0459759	0.0590193	0.0717899	0.0827224	0.0902753	0.0932835	0.0912529	0.0844926	0.0740378	0.0613896	0.0481608	0.0357446	0.0250965	0.0166679	0.0104711	0.00622227	0.00349739	0.00185947	0.000935187	0.000444933	0.000200266	8.52858e-05	3.43675e-05	1.31062e-05	4.73078e-06	1.61658e-06	5.23093e-07	1.6033e-07	4.65701e-08	1.28276e-08	3.35425e-09	8.34095e-10	1.97839e-10	4.49986e-11	9.91001e-12	2.15139e-12	4.7659e-13	1.16515e-13	4.08861e-14	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.00780678	0.00821258	0.00902268	0.0102589	0.0119489	0.0141202	0.0167934	0.0199728	0.0236376	0.0277325	0.0321611	0.0367823	0.0414119	0.0458312	0.0498005	0.0530791	0.0554479	0.0567324	0.0568232	0.055689	0.0533824	0.0500351	0.0458442	0.0410518	0.0359201	0.0307069	0.0256433	0.0209174	0.0166648	0.0129666	0.00985294	0.00731149	0.00529834	0.00374946	0.0025912	0.00174884	0.00115278	0.000742192	0.000466781	0.000286812	0.000172207	0.000101059	5.79838e-05	3.25395e-05	1.78691e-05	9.60874e-06	5.06366e-06	2.61812e-06	1.3302e-06	6.65613e-07	3.29149e-07	1.61748e-07	7.97494e-08	4.01509e-08	2.13422e-08	1.27426e-08	9.41593e-09	
