NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.91548e-06	8.68918e-07	1.40092e-06	2.35693e-06	4.30905e-06	8.38784e-06	1.62508e-05	2.99072e-05	5.35795e-05	0.000104771	0.000265398	0.000923839	0.00361396	0.0125833	0.0344879	0.0741273	0.124653	0.165962	0.177592	0.155236	0.113831	0.0702031	0.0373572	0.0174927	0.00732538	0.00277021	0.000948628	0.000293783	8.22143e-05	2.09959e-05	4.86833e-06	1.04765e-06	2.12804e-07	4.14107e-08	7.79126e-09	1.42191e-09	2.51611e-10	4.31062e-11	7.17937e-12	1.14992e-12	1.7817e-13	2.67115e-14	3.87758e-15	5.4563e-16	7.45096e-17	9.87498e-18	1.2675e-18	1.57479e-19	1.86243e-20	2.0948e-21	2.22796e-22	2.2312e-23	2.09779e-24	1.84801e-25	1.52302e-26	1.17306e-27	8.44755e-29	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.31748e-05	1.26257e-05	2.76936e-05	5.10054e-05	7.64509e-05	0.000122766	0.000319177	0.00130636	0.0063766	0.0270136	0.0824462	0.168945	0.230126	0.212436	0.137154	0.0685718	0.0312589	0.0157988	0.0091086	0.00513188	0.00244938	0.000907745	0.000263564	6.28954e-05	1.3688e-05	3.26348e-06	1.03531e-06	4.4165e-07	2.10817e-07	9.43371e-08	3.4887e-08	1.06053e-08	3.17299e-09	1.22657e-09	5.61662e-10	2.62576e-10	1.22682e-10	5.2968e-11	1.93904e-11	5.60745e-12	1.2656e-12	2.31441e-13	4.14841e-14	9.48528e-15	2.47369e-15	5.73568e-16	1.08827e-16	1.69372e-17	2.1536e-18	2.26841e-19	1.99627e-20	1.47572e-21	9.15302e-23	4.73888e-24	2.03965e-25	7.32783e-27	2.23622e-28	
N10	1.37875e-05	1.16944e-05	2.17918e-05	3.87698e-05	7.1352e-05	0.000143147	0.000374791	0.00170255	0.00949494	0.0404415	0.110462	0.190125	0.211217	0.156844	0.0820262	0.0351382	0.0157472	0.00901985	0.00611386	0.00396526	0.00232767	0.00130358	0.000696925	0.000327361	0.000145938	8.78422e-05	0.000105547	0.000214543	0.000443317	0.000696708	0.00075249	0.000599285	0.000519497	0.000634394	0.000902241	0.00172375	0.00424697	0.00944784	0.0152884	0.0167159	0.0123923	0.00694566	0.00455577	0.0048661	0.00685081	0.0096041	0.010397	0.0079466	0.00420106	0.00156682	0.000421387	8.41488e-05	1.27358e-05	1.60771e-06	3.15669e-07	1.6986e-07	8.85256e-08	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.1883e-06	1.02574e-06	1.15362e-06	1.26046e-06	1.35425e-06	1.47574e-06	1.70079e-06	2.15131e-06	3.02491e-06	4.64735e-06	7.50394e-06	1.23815e-05	2.03905e-05	3.34627e-05	6.08457e-05	0.000110182	0.000200414	0.000364834	0.000655267	0.00115772	0.00201578	0.00367944	0.00709487	0.0137809	0.0255044	0.0434721	0.0672524	0.0938815	0.117859	0.130018	0.127421	0.112059	0.0890445	0.0644721	0.0428934	0.0264018	0.0151091	0.00807554	0.0039681	0.00184068	0.000829825	0.00037184	0.000168166	7.70061e-05	3.54556e-05	1.62412e-05	7.34242e-06	3.20318e-06	1.37734e-06	5.92152e-07	2.54429e-07	1.07947e-07	4.43862e-08	1.73676e-08	6.37688e-09	2.17691e-09	6.87262e-10	
